GEOID,pop,earnings
360670043022,5557,2653.0
360670104001,1847,49432.0
360670054002,566,38409.0
360670126004,1751,36860.0
360670144003,968,33897.0
360670051002,796,28611.0
360670112421,746,
360670030001,1056,25972.0
360670103013,1818,47532.0
360670040001,1398,19261.0
360670147002,1352,44489.0
360670102003,1012,45799.0
360670144001,752,30335.0
360670036012,1447,18875.0
360670113001,848,40163.0
360670116001,1953,41466.0
360670162002,1669,31102.0
360670043023,927,8651.0
360670043011,1563,4004.0
360670021012,593,36364.0
360670137014,1088,37045.0
360670005012,1123,25771.0
360670156011,1473,53488.0
360670116002,1449,34952.0
360670127001,602,33200.0
360670135001,1967,42500.0
360670112312,1862,41683.0
360670164001,1116,36898.0
360670009001,786,27188.0
360670020002,1137,30938.0
360670030002,785,15223.0
360670032002,1927,12639.0
360670004001,1428,39524.0
360670007001,786,26637.0
360670010004,694,12759.0
360670115004,329,
360670112014,990,30986.0
360670113003,1571,40875.0
360670114012,2231,46635.0
360670142001,904,36111.0
360670144002,556,28828.0
360670145002,1540,34196.0
360670052002,750,25574.0
360670061032,764,36205.0
360670102002,1473,62569.0
360670120001,1264,30409.0
360670120004,1854,29345.0
360670132001,1242,44625.0
360670132002,1439,47672.0
360670107002,1112,41083.0
360670112011,698,
360670112013,1190,50313.0
360670056021,3878,3321.0
360670046004,812,35000.0
360670052003,1016,28385.0
360670052001,388,24464.0
360670152012,1467,40036.0
360670152011,1550,73625.0
360670168012,940,49241.0
360670014002,1095,25564.0
360670118005,1622,44358.0
360670045004,765,19444.0
360670045001,644,29569.0
360670045003,1098,21637.0
360670110222,1372,49023.0
360670061031,1818,39583.0
360670102001,3133,34381.0
360670139001,1473,35656.0
360670146001,2688,10602.0
360670146004,928,46944.0
360670146002,594,57955.0
360670146003,595,48056.0
360670155002,1310,70292.0
360670155001,1508,40195.0
360670158002,644,58289.0
360670158003,941,24231.0
360670158001,2182,37182.0
360670160011,1490,39792.0
360670160012,978,32222.0
360670161001,2653,42083.0
360670164002,1366,50037.0
360670164003,1635,38063.0
360670165011,1726,38333.0
360670009002,989,47054.0
360670009003,1353,40536.0
360670020001,670,20250.0
360670032001,1238,41901.0
360670044002,1358,7293.0
360670044001,517,6679.0
360670004002,1455,31190.0
360670004003,1179,30750.0
360670007002,693,30574.0
360670010001,646,57616.0
360670010002,1238,44479.0
360670154004,1748,
360679400001,134,
360670163007,1115,62788.0
360670158004,1102,57417.0
360670043021,447,5833.0
360670021013,1539,20102.0
360670021011,383,
360670137012,1956,35907.0
360670137013,864,39327.0
360670137011,826,31154.0
360670160022,1380,40987.0
360670130003,536,46528.0
360670130005,682,35660.0
360670130001,870,36775.0
360670157003,1524,51512.0
360670157002,1822,46224.0
360670157001,1539,60331.0
360670128002,897,25640.0
360670163002,1001,38083.0
360670163005,1170,54616.0
360670163006,1103,60096.0
360670163001,1030,67287.0
360670051001,771,21500.0
360670024001,1091,24637.0
360670019005,674,41620.0
360670019002,608,16771.0
360670019003,1101,47304.0
360670019001,694,31029.0
360670023001,778,22750.0
360670042001,902,11793.0
360670049002,533,50192.0
360670049001,725,30500.0
360670061011,1681,23393.0
360670061012,802,24750.0
360670005011,1483,26019.0
360670029011,1617,42778.0
360670029012,1267,43931.0
360670156012,903,35898.0
360670123001,2164,50774.0
360670124004,800,41719.0
360670111023,962,27813.0
360670112412,1452,65724.0
360670027003,613,30486.0
360670027001,539,41625.0
360670036011,1053,27266.0
360670110212,1091,53507.0
360670054001,598,
360670060004,932,25156.0
360670060001,538,26450.0
360670060002,777,42679.0
360670106002,1223,39000.0
360670111012,1121,35063.0
360670111011,1174,42179.0
360670111013,1205,41579.0
360670111015,1865,61700.0
360670111022,1621,38750.0
360670112321,2804,55658.0
360670112322,1219,43512.0
360670115001,1822,53775.0
360670115003,1828,54415.0
360670115002,2181,43980.0
360670002002,1559,30788.0
360670002001,1867,36944.0
360670046001,1203,4966.0
360670046002,959,53964.0
360670046003,975,68618.0
360670046005,658,35463.0
360670103212,1557,45000.0
360670119004,660,54911.0
360670119002,929,33021.0
360670119003,807,39485.0
360670126002,1542,30479.0
360670126003,1149,37067.0
360670134002,1707,46612.0
360670134001,1198,35921.0
360670156013,1119,30650.0
360670103015,1546,52021.0
360670166003,2162,62530.0
360670166001,1169,46000.0
360670124002,956,44327.0
360670124003,1052,42277.0
360670138001,1267,40547.0
360670116003,1862,47591.0
360670122001,1155,35662.0
360670127002,1417,37652.0
360670135003,1108,45481.0
360670135002,2402,44403.0
360670150002,1109,61458.0
360670150001,874,53050.0
360670136001,941,33603.0
360670136002,526,37303.0
360670150003,1196,51917.0
360670114023,1243,32261.0
360670114021,1425,56223.0
360670114022,1676,50556.0
360670118002,1082,25257.0
360670118004,1163,33417.0
360670118003,1071,42800.0
360670118001,1313,32245.0
360670112022,1690,56677.0
360670112021,2745,42607.0
360670112311,1140,35964.0
360670112313,1775,36086.0
360670113002,837,49565.0
360670114013,1307,47361.0
360670103012,762,47059.0
360670103014,733,31417.0
360670123002,1374,51063.0
360670129001,1597,27935.0
360670129002,971,26639.0
360670140001,1879,28029.0
360670140002,496,32361.0
360670140003,1193,28625.0
360670016002,1330,25846.0
360670016001,1861,21434.0
360670035002,774,9271.0
360670059001,788,28529.0
360670059002,668,32900.0
360670101001,920,61103.0
360670110113,1376,41453.0
360670110111,1141,40750.0
360670038002,1279,18317.0
360670038001,1026,21500.0
360670050001,1046,40464.0
360670050002,1332,45179.0
360670057001,828,35147.0
360670057002,1048,27813.0
360670058002,349,14318.0
360670058003,1028,14286.0
360670058001,787,21250.0
360670108003,974,38000.0
360670108001,1209,34907.0
360670108004,1936,29457.0
360670108002,733,36714.0
360670133001,601,43125.0
360670133003,853,47188.0
360670110122,1202,39563.0
360670110121,1227,38942.0
360670039002,680,17721.0
360670039003,1664,21600.0
360670109002,1392,34158.0
360670109001,1061,34000.0
360670148002,1615,49107.0
360670148003,916,58750.0
360670168022,1452,38481.0
360670035001,1011,17841.0
360670024002,840,28017.0
360670114011,1071,59527.0
360670114014,2284,68125.0
360670117001,1634,36594.0
360670117002,1981,42370.0
360670121001,1622,56324.0
360670121002,1268,46439.0
360670121003,1691,45813.0
360670018002,963,13794.0
360670048001,722,37875.0
360670053002,1351,15833.0
360670053001,590,22454.0
360670055002,1655,27772.0
360670055003,1168,25246.0
360670143002,722,25385.0
360670143001,1266,31111.0
360670147004,1279,67645.0
360670147005,1308,72525.0
360670149001,2387,34167.0
360670152022,2263,43750.0
360670003001,889,41000.0
360670006002,1256,17245.0
360670006001,1142,16958.0
360670017012,1063,37193.0
360670017011,1255,34528.0
360670018001,712,28064.0
360670061022,1245,28781.0
360670061021,796,
360670151005,1796,41653.0
360670151003,995,33958.0
360670151004,819,56944.0
360670151001,1438,78400.0
360670169022,825,38900.0
360670169021,1442,34021.0
360670152032,1647,44844.0
360670152031,947,61864.0
360670142003,1618,36806.0
360670142002,1148,28404.0
360670145001,2203,41334.0
360670160021,1473,51484.0
360670010003,1581,22451.0
360670017021,944,36563.0
360670036022,1038,23917.0
360670036021,1292,32457.0
360670128003,1204,35758.0
360670107001,776,38462.0
360670167001,1402,55221.0
360670167002,1062,61172.0
360670169011,1367,41771.0
360670169012,1336,40605.0
360670008002,1481,16289.0
360670008001,1309,35559.0
360670112422,1229,26023.0
360670112424,2802,60116.0
360670125002,1706,40145.0
360670125003,1170,42339.0
360670131004,1357,41071.0
360670131003,1194,41111.0
360670131002,1196,39861.0
360670154001,1275,31056.0
360670154002,1493,45921.0
360670165021,911,35000.0
360670165022,1236,30568.0
360670165023,1161,50284.0
360670015001,1593,26859.0
360670015002,1397,21905.0
360670103222,1206,49167.0
360670104002,2419,68188.0
360670105002,1290,36082.0
360670112411,944,55583.0
360670112423,1750,44153.0
360670125001,772,40781.0
360670131001,820,30000.0
360670139002,1268,28529.0
360670154003,1040,51712.0
360670165024,1083,48214.0
360670160013,971,42500.0
360670039001,726,
360670103221,2393,47109.0
360670148001,596,37292.0
360670168021,1085,37778.0
360670034001,1437,18469.0
360670048002,789,53409.0
360670055001,751,21324.0
360670056011,1466,46440.0
360670143003,980,33856.0
360670147001,1067,55481.0
360670147003,1051,52931.0
360670152021,2228,69702.0
360670003002,760,40347.0
360670006003,722,22586.0
360670018003,1429,32589.0
360670112012,898,26198.0
360670027002,699,28400.0
360670110211,1777,61125.0
360670054004,650,19081.0
360670054003,598,20089.0
360670060003,1628,33338.0
360670106001,1045,41739.0
360670111014,540,35192.0
360670111021,701,30703.0
360670103011,641,
360670105001,1181,49702.0
360670168011,735,38393.0
360670014003,920,20813.0
360670017022,1609,31887.0
360670150004,1199,49083.0
360670136003,1491,36161.0
360670001001,749,73641.0
360670051003,777,27468.0
360670162001,668,32847.0
360670045002,1277,40489.0
360670110221,2121,35722.0
360670130002,984,31685.0
360670130004,724,41827.0
360670157004,2409,50074.0
360670128001,897,25543.0
360670163003,1261,
360670163004,718,29893.0
360670133002,720,31914.0
360670110123,1478,36758.0
360670014001,1092,20515.0
360670019004,802,40729.0
360670023002,777,18207.0
360670042002,1403,18000.0
360670061013,1345,29803.0
360670103211,1221,42202.0
360670119001,1066,49500.0
360670126001,795,50789.0
360670134003,1145,
360670134004,1473,49349.0
360670138002,807,37350.0
360670166002,1403,32315.0
360670124001,1284,31787.0
360670035003,806,12500.0
360670101002,1713,50104.0
360670110112,954,41161.0
360670120002,1722,33438.0
360670120003,921,36731.0
360670151002,605,27426.0
